SA2_code,y.leukaemia.male,sd.leukaemia.male,y.leukaemia.female,sd.leukaemia.female,y.leukaemia.persons,sd.leukaemia.persons
11001,0.92,0.18367346938775514,1.14,0.25000000000000006,1.11,0.2295918367346939
11002,1.05,0.10714285714285715,1.04,0.08673469387755102,1.11,0.13265306122448983
11003,0.95,0.22448979591836735,1,0.19387755102040813,0.98,0.3801020408163266
11004,0.98,0.09948979591836732,1.01,0.08163265306122448,0.99,0.12755102040816327
11005,0.99,0.2602040816326531,1.07,0.21938775510204084,1.04,0.1836734693877551
11006,1.07,0.14285714285714285,1.02,0.09948979591836735,1.06,0.1479591836734694
11007,1.07,0.16326530612244897,1.04,0.10459183673469388,1.13,0.18367346938775514
11008,1,0.17091836734693883,1.04,0.15051020408163265,1.12,0.21428571428571425
11009,0.98,0.1479591836734694,1.03,0.12500000000000003,1.04,0.1683673469387755
11010,0.99,0.14540816326530615,1.02,0.11734693877551022,1,0.17091836734693877
11011,1.03,0.11224489795918369,1.01,0.08163265306122448,1.04,0.12500000000000003
11012,1.05,0.1683673469387755,1.03,0.12244897959183676,1.07,0.21173469387755103
11013,1.09,0.18112244897959184,1.04,0.14285714285714285,1.13,0.19387755102040816
11014,1.15,0.27040816326530615,1.13,0.2933673469387755,1.18,0.33418367346938777
11015,1.05,0.1326530612244898,1.04,0.10714285714285715,1.09,0.1760204081632653
11016,1.06,0.19387755102040816,1.04,0.11734693877551022,1.08,0.2066326530612245
11017,0.99,0.23979591836734693,0.99,0.211734693877551,0.91,0.2423469387755102
11018,1.02,0.22193877551020408,1.04,0.1760204081632653,1.02,0.22704081632653061
11019,1.07,0.2448979591836735,1.08,0.2295918367346939,1.23,0.25000000000000006
11020,1.07,0.20663265306122447,1.07,0.13520408163265307,1.21,0.22704081632653061
11021,1.02,0.22959183673469388,1.03,0.17857142857142858,0.95,0.20918367346938774
11022,1.08,0.1760204081632653,1.05,0.1275510204081633,1.13,0.2066326530612245
11023,1,0.26275510204081626,1.09,0.21683673469387751,1.13,0.2933673469387755
11024,1.04,0.14285714285714288,1.05,0.12500000000000003,1.07,0.16581632653061223
11025,0.97,0.22959183673469388,1.07,0.19387755102040816,1.04,0.1989795918367347
11026,0.95,0.19897959183673466,1.02,0.18877551020408162,0.9,0.2627551020408163
11027,1.16,0.2653061224489796,1.07,0.18112244897959184,1.22,0.27295918367346933
11028,1.02,0.20918367346938774,1.05,0.16581632653061223,0.99,0.21173469387755103
11029,1.04,0.1964285714285714,1.06,0.1556122448979592,1.07,0.1760204081632653
11030,1.08,0.12244897959183676,1.04,0.08928571428571429,1.09,0.11989795918367349
11031,1.06,0.15051020408163268,1.04,0.12244897959183676,1.03,0.13520408163265307
11032,1.1,0.16581632653061223,1.03,0.125,1.1,0.15051020408163263
11033,1.13,0.20153061224489796,1.04,0.15306122448979595,1.19,0.2372448979591837
11034,1,0.16836734693877553,1.01,0.13775510204081634,0.89,0.15051020408163265
11035,1.06,0.18622448979591838,1.03,0.15561224489795922,0.99,0.17346938775510207
11036,1.06,0.1760204081632653,1.03,0.11989795918367349,1.03,0.1479591836734694
11037,1.13,0.2219387755102041,1.03,0.1479591836734694,1.14,0.21938775510204078
11038,1.04,0.20918367346938774,1.04,0.19387755102040816,1,0.2193877551020408
11039,1.02,0.1887755102040816,1.03,0.1989795918367347,0.99,0.1734693877551021
11040,1.06,0.19642857142857142,1.05,0.1454081632653061,1.11,0.1913265306122449
11041,1.12,0.18112244897959184,1.06,0.15306122448979595,1.11,0.20153061224489796
11042,1.11,0.16581632653061223,1.05,0.12244897959183673,1.13,0.17857142857142858
11043,1.07,0.18877551020408162,1.03,0.13010204081632654,1.04,0.1760204081632653
11044,1.27,0.23979591836734696,1.08,0.1607142857142857,1.31,0.2142857142857143
11045,1.18,0.19897959183673466,1.04,0.1352040816326531,1.21,0.17602040816326534
11046,1.28,0.23979591836734696,1.07,0.1760204081632653,1.29,0.20918367346938774
11047,1.14,0.16071428571428573,1.05,0.13265306122448983,1.17,0.1785714285714286
11048,1.33,0.27040816326530615,1.06,0.1377551020408163,1.39,0.22959183673469385
11049,1.14,0.163265306122449,1.03,0.10714285714285715,1.17,0.17346938775510207
11050,1.31,0.22448979591836737,1,0.13010204081632654,1.18,0.19642857142857145
11051,1.09,0.17857142857142858,1.03,0.12755102040816327,1.06,0.16326530612244897
11052,1.12,0.32653061224489793,1.01,0.1913265306122449,1.12,0.28571428571428575
11053,1.18,0.25,1.1,0.19387755102040816,1.22,0.2857142857142857
