SA2_code,y.breast.female,sd.breast.female
11001,1.02,0.19897959183673466
11002,0.98,0.09183673469387751
11003,0.96,0.22448979591836735
11004,0.97,0.09693877551020408
11005,0.81,0.1683673469387755
11006,0.96,0.10969387755102039
11007,1.05,0.13265306122448983
11008,1.06,0.18877551020408162
11009,0.99,0.17091836734693877
11010,1.01,0.15051020408163268
11011,0.97,0.09693877551020405
11012,0.96,0.15816326530612249
11013,1,0.17091836734693877
11014,0.97,0.25
11015,0.98,0.1173469387755102
11016,0.97,0.18112244897959187
11017,1.06,0.2295918367346939
11018,1,0.20918367346938774
11019,1.02,0.18877551020408162
11020,1.04,0.1530612244897959
11021,0.97,0.21428571428571427
11022,1.02,0.14540816326530615
11023,1.08,0.21938775510204084
11024,1.01,0.1326530612244898
11025,1.06,0.20663265306122447
11026,1,0.23214285714285715
11027,1.04,0.18112244897959184
11028,0.85,0.15306122448979592
11029,0.9,0.14030612244897958
11030,0.98,0.10204081632653059
11031,0.9,0.1173469387755102
11032,0.94,0.13010204081632654
11033,0.97,0.15051020408163268
11034,0.86,0.15306122448979592
11035,0.93,0.15306122448979592
11036,0.94,0.1403061224489796
11037,0.96,0.16071428571428575
11038,0.96,0.19897959183673466
11039,0.85,0.14030612244897958
11040,0.87,0.13265306122448978
11041,0.85,0.13010204081632656
11042,0.98,0.16071428571428575
11043,0.96,0.15816326530612249
11044,0.89,0.14285714285714285
11045,1.01,0.13775510204081634
11046,1.02,0.17346938775510204
11047,0.97,0.13520408163265307
11048,0.98,0.16581632653061223
11049,0.99,0.125
11050,1.02,0.14285714285714288
11051,1,0.1479591836734694
11052,1,0.2551020408163265
11053,0.99,0.20663265306122447
11054,1.16,0.23214285714285712
11055,1.08,0.1836734693877551
11056,1.01,0.17091836734693877
11057,1.09,0.18877551020408162
11058,0.94,0.1862244897959184
11059,0.94,0.19897959183673466
11060,1.02,0.11989795918367349
11061,1.05,0.17346938775510204
11062,1.03,0.12244897959183673
11063,0.98,0.24234693877551022
11064,0.99,0.11989795918367346
11065,1.07,0.14540816326530612
11066,1.01,0.1658163265306123
11067,1.14,0.2653061224489796
11068,1.09,0.16071428571428573
11069,1,0.13520408163265307
11070,1.08,0.3010204081632653
11071,1.04,0.16326530612244897
11072,1.05,0.23469387755102042
11073,1.08,0.16071428571428573
11074,1.11,0.14285714285714285
11076,0.98,0.15816326530612249
