SA2_code,y.head_neck.male,sd.head_neck.male,y.head_neck.female,sd.head_neck.female,y.head_neck.persons,sd.head_neck.persons
11001,1.15,0.3520408163265306,1.12,0.2576530612244897,1.2,0.2193877551020408
11002,1.06,0.12244897959183676,1.02,0.10459183673469388,1.04,0.09948979591836735
11003,0.97,0.3137755102040816,0.92,0.23979591836734693,0.95,0.18367346938775514
11004,0.99,0.10459183673469385,1.01,0.09438775510204081,1.01,0.09693877551020408
11005,1.38,0.3392857142857143,1.18,0.2755102040816327,1.2,0.25765306122448983
11006,1.18,0.17857142857142855,1.05,0.12244897959183676,1.11,0.14540816326530612
11007,1.12,0.18112244897959187,1.02,0.1403061224489796,1.07,0.16071428571428573
11008,1.05,0.21938775510204084,1.05,0.1760204081632653,1.05,0.1683673469387755
11009,1.07,0.17857142857142858,1.02,0.18622448979591838,1.06,0.15051020408163265
11010,1.05,0.18112244897959184,1.03,0.15816326530612243,1.05,0.13265306122448983
11011,1.04,0.12500000000000003,1.06,0.11479591836734696,1.06,0.09693877551020408
11012,1.03,0.17857142857142858,1.02,0.1913265306122449,1.04,0.14030612244897964
11013,0.99,0.23214285714285715,1.04,0.1836734693877551,1.03,0.1479591836734694
11014,0.93,0.2653061224489796,1,0.3443877551020408,0.98,0.20663265306122447
11015,0.99,0.15816326530612249,1.03,0.1326530612244898,1.02,0.11989795918367349
11016,0.96,0.1887755102040816,1.06,0.17857142857142858,1,0.15561224489795922
11017,1.41,0.32653061224489793,0.98,0.2066326530612245,1.19,0.23469387755102042
11018,1.31,0.31632653061224486,1.02,0.20408163265306123,1.2,0.21683673469387754
11019,1.02,0.211734693877551,1.18,0.23214285714285712,1.13,0.2372448979591837
11020,0.91,0.15051020408163265,1.08,0.14540816326530612,1.05,0.15306122448979595
11021,1.3,0.3341836734693877,1.04,0.1989795918367347,1.19,0.22959183673469388
11022,1.04,0.18622448979591838,1.04,0.1479591836734694,1.06,0.14285714285714285
11023,0.91,0.21428571428571427,1.1,0.2653061224489796,1.05,0.29081632653061223
11024,1.2,0.20153061224489793,1.01,0.13775510204081634,1.12,0.14030612244897958
11025,0.91,0.16071428571428573,1.15,0.23979591836734693,1.09,0.1913265306122449
11026,1.21,0.29336734693877553,1.02,0.2193877551020408,1.14,0.2193877551020408
11027,1.06,0.2066326530612245,1.03,0.20153061224489793,1.09,0.16581632653061226
11028,0.88,0.20663265306122447,1.06,0.23469387755102042,0.94,0.15051020408163265
11029,0.91,0.163265306122449,1.03,0.18622448979591838,0.93,0.1403061224489796
11030,0.95,0.10714285714285712,1.03,0.11224489795918366,0.97,0.08928571428571429
11031,0.87,0.14030612244897958,1.05,0.14540816326530615,0.96,0.11989795918367346
