SA2_code,y.uterine.female,sd.uterine.female
11001,0.87,0.19387755102040816
11002,1,0.08673469387755102
11003,1.06,0.22704081632653061
11004,1,0.08928571428571429
11005,0.96,0.2346938775510204
11006,1,0.10714285714285715
11007,0.98,0.11224489795918366
11008,1,0.14540816326530615
11009,0.98,0.11989795918367346
11010,0.98,0.11479591836734693
11011,0.99,0.07653061224489795
11012,0.98,0.1173469387755102
11013,1.01,0.1403061224489796
11014,1.01,0.23979591836734696
11015,1.01,0.09948979591836735
11016,0.99,0.16071428571428575
11017,1.04,0.2066326530612245
11018,1.01,0.20153061224489796
11019,0.96,0.21683673469387754
11020,1.01,0.14285714285714288
11021,1.05,0.2066326530612245
11022,1,0.13010204081632654
11023,1.04,0.2653061224489796
11024,1.02,0.13520408163265307
11025,0.99,0.20918367346938774
11026,1.12,0.21173469387755103
11027,1.01,0.15816326530612249
11028,0.89,0.1709183673469388
11029,0.92,0.15816326530612246
11030,0.96,0.09693877551020405
11031,0.91,0.125
11032,0.92,0.1326530612244898
11033,0.98,0.15306122448979595
11034,0.91,0.13520408163265304
11035,0.92,0.15816326530612249
11036,0.93,0.1326530612244898
11037,0.96,0.17091836734693877
11038,0.88,0.16581632653061226
11039,0.93,0.13520408163265307
11040,0.91,0.15306122448979592
11041,0.94,0.13520408163265307
11042,0.96,0.13775510204081634
11043,0.91,0.15306122448979592
11044,0.92,0.1658163265306123
11045,0.99,0.15306122448979595
11046,1.05,0.20408163265306123
11047,0.93,0.12244897959183673
11048,0.99,0.1836734693877551
11049,0.98,0.11479591836734693
11050,1.02,0.17346938775510204
11051,0.96,0.13775510204081634
11052,1.08,0.33418367346938777
11053,0.93,0.1709183673469388
11054,1.01,0.19642857142857142
11055,0.97,0.14540816326530615
11056,0.98,0.16836734693877556
11057,0.97,0.17346938775510204
11058,1.04,0.21938775510204084
11059,0.99,0.20663265306122447
11060,1.01,0.10204081632653061
11061,1.04,0.1352040816326531
11062,1.01,0.11479591836734693
11063,1.07,0.25255102040816324
11064,1.02,0.11734693877551022
11065,1.03,0.11989795918367349
11066,1.04,0.13010204081632654
11067,0.99,0.18367346938775508
11068,0.99,0.12244897959183673
11069,1.01,0.11224489795918366
11070,1.17,0.28571428571428575
11071,1.05,0.15051020408163263
11072,0.95,0.19897959183673472
11073,1.01,0.125
11074,0.99,0.09693877551020405
11076,1.06,0.1760204081632653
11077,1.05,0.19642857142857142
11078,1.05,0.19642857142857142
11079,1.01,0.10459183673469388
11080,0.89,0.18367346938775514
11081,0.97,0.11224489795918366
11082,0.97,0.17602040816326534
11083,1.01,0.13520408163265307
11084,1.02,0.1760204081632653
11085,1.01,0.1964285714285714
11086,1.01,0.1403061224489796
11087,0.99,0.1479591836734694
11088,1,0.16071428571428575
11089,1.06,0.1760204081632653
11090,1.02,0.18112244897959184
11091,1.01,0.17346938775510204
11092,0.98,0.1326530612244898
11093,0.99,0.125
11094,0.98,0.1326530612244898
11095,0.99,0.12244897959183673
11096,1,0.1173469387755102
11097,1.05,0.25255102040816324
11098,0.99,0.09693877551020408
11099,0.97,0.10204081632653059
11100,0.95,0.1785714285714286
11101,0.97,0.1709183673469388
11102,1,0.17346938775510207
11103,0.97,0.10459183673469385
11104,0.94,0.1326530612244898
11105,0.98,0.125
11106,1,0.16581632653061223
11107,1.04,0.13520408163265307
11108,1.07,0.16581632653061223
11109,1.01,0.09693877551020408
11110,0.98,0.09948979591836732
11111,0.99,0.12755102040816327
11112,1.05,0.1913265306122449
11113,1.01,0.09948979591836735
11114,0.99,0.13520408163265307
11115,0.99,0.13010204081632654
11116,0.99,0.14285714285714288
11117,1,0.125
11118,1.02,0.14285714285714288
11119,0.96,0.18112244897959187
11120,0.95,0.17346938775510207
11121,0.93,0.20918367346938774
11122,1.02,0.17346938775510204
11123,0.99,0.13775510204081634
11124,0.97,0.17091836734693883
11125,0.98,0.1173469387755102
11126,0.99,0.1785714285714286
11127,1,0.12755102040816327
11128,0.91,0.20918367346938774
11129,0.98,0.08928571428571426
11130,1,0.13775510204081634
11131,1.08,0.13010204081632656
11132,1.08,0.14030612244897958
11133,1.01,0.15816326530612249
11134,1.01,0.125
11135,1.03,0.08673469387755102
11136,1.04,0.11734693877551022
11137,1.04,0.1479591836734694
11138,0.98,0.1836734693877551
11139,1.03,0.18112244897959184
11140,1.05,0.14030612244897958
11141,1.06,0.1275510204081633
11142,1.09,0.18622448979591838
11143,1.07,0.2066326530612245
11144,0.98,0.14540816326530615
11145,1,0.15051020408163268
11146,1.01,0.1403061224489796
11147,1.04,0.12500000000000003
11148,1.03,0.1658163265306123
11149,1.02,0.15051020408163268
11150,1.02,0.16326530612244897
11151,0.98,0.11989795918367346
11152,1.01,0.2193877551020408
11153,0.99,0.16326530612244902
11154,0.97,0.1964285714285714
11155,1.01,0.2474489795918367
11156,0.99,0.13010204081632654
11157,1.01,0.18622448979591838
11158,1.03,0.22448979591836735
11159,1.04,0.1683673469387755
11160,0.97,0.26275510204081637
11162,0.95,0.14285714285714288
11163,0.99,0.1658163265306123
11164,0.97,0.163265306122449
11165,0.94,0.12244897959183673
11166,0.97,0.16326530612244902
11167,0.99,0.11989795918367346
11168,0.98,0.17857142857142855
11169,0.97,0.1760204081632653
11170,0.97,0.11989795918367346
11171,0.97,0.211734693877551
11172,0.98,0.13520408163265307
11173,0.99,0.1479591836734694
11174,0.97,0.14540816326530615
11175,0.98,0.10459183673469385
11176,0.97,0.1658163265306123
11177,0.99,0.13520408163265307
11178,0.95,0.12755102040816327
11179,0.97,0.08673469387755099
11180,0.98,0.18622448979591838
11181,1,0.10204081632653061
11182,1.01,0.3826530612244898
11183,0.98,0.09183673469387756
11184,0.99,0.1913265306122449
11185,0.99,0.09948979591836735
11186,0.96,0.17346938775510207
11187,0.99,0.12244897959183673
11188,0.97,0.13010204081632654
